Feature Description,Release Date,,,,,,,,,,,,,,,,
Bookmarks can now be searched from the Bookmarks menu. The Bookmarks menu is accessible by adding the Bookmarks menu button to the toolbar.,6/6/2023,,,,,,,,,,,,,,,,
"Restrict searches to your local browsing history by selecting Search history from the History, Library or Application menu buttons.",6/6/2023,,,,,,,,,,,,,,,,
Mac users can now capture video from their cameras in all supported native resolutions. This enables resolutions higher than 1280x720.,6/6/2023,,,,,,,,,,,,,,,,
It is now possible to reorder the extensions listed in the extensions panel.,6/6/2023,,,,,,,,,,,,,,,,
"Users on macOS, Linux, and Windows 7 can now use FIDO2 / WebAuthn authenticators over USB. Some advanced features, such as fully passwordless logins, require a PIN to be set on the authenticator.",6/6/2023,,,,,,,,,,,,,,,,
"Pocket Recommended content can now be seen in France, Italy, and Spain.",6/6/2023,,,,,,,,,,,,,,,,
DNS over HTTPS settings are now part of the Privacy & Security section of the Settings page and allow the user to choose from all the supported modes.,6/6/2023,,,,,,,,,,,,,,,,
"The Picture-in-Picture feature allows you to pop videos out of their webpages into floating, always on top, windows, so you can watch while continuing to work in other tabs. You can have multiple Picture-in-Picture windows open and move or resize them to your liking.",5/9/2023,,,,,,,,,,,,,,,,
"Firefox's address bar is already a great place to search for what you're looking for.  Now you'll always be able to see your web search terms and refine them while viewing your search's results - no additional scrolling needed! Also, a new result menu has been added making it easier to remove history results and dismiss sponsored Firefox Suggest entries.",5/9/2023,,,,,,,,,,,,,,,,
Private windows now protect users even better by blocking third-party cookies and storage of content trackers.,5/9/2023,,,,,,,,,,,,,,,,
"Passwords automatically generated by Firefox now include special characters, giving users more secure passwords by default.",5/9/2023,,,,,,,,,,,,,,,,
"Firefox 113 introduces a redesigned accessibility engine which significantly improves the speed, responsiveness, and stability of Firefox when used with: Screen readers, as well as certain other accessibility software.Firefox 113 introduces a redesigned accessibility engine which significantly improves the speed, responsiveness, and stability of Firefox when used with: East Asian input methods. Firefox 113 introduces a redesigned accessibility engine which significantly improves the speed, responsiveness, and stability of Firefox when used with: Enterprise single sign-on software. Firefox 113 introduces a redesigned accessibility engine which significantly improves the speed, responsiveness, and stability of Firefox when used with: Other applications which use accessibility frameworks to access information.",5/9/2023,,,,,,,,,,,,,,,,
